,trade_id,signal_time,entry_fill_time,exit_time,type,position,entry,sl,tp,exit_price,result,highest_point,lowest_point,rr_ratio,pnl,pnl_points,lot_size,initial_balance_for_trade,balance_after_trade
86,87,2024-12-17 04:45:00+00:00,2024-12-17 04:50:00+00:00,,FVG_bearish,sell,22096.285,22101.49214,22080.66357,,,0.0,0.0,3.0,0.0,0.0,1.0,10000.0,10000.0
87,88,2024-12-17 06:10:00+00:00,2024-12-17 06:15:00+00:00,,FVG_bearish,sell,22101.535,22105.515,22089.595,,,0.0,0.0,3.0,0.0,0.0,1.0,10000.0,10000.0
88,89,2024-12-17 08:30:00+00:00,2024-12-17 08:35:00+00:00,,FVG_bullish,buy,22076.33,22070.65857,22093.34429,,,0.0,0.0,3.0,0.0,0.0,1.0,10000.0,10000.0
89,90,2024-12-17 09:50:00+00:00,2024-12-17 09:55:00+00:00,,FVG_bullish,buy,22039.365,22030.21429,22066.81714,,,0.0,0.0,3.0,0.0,0.0,1.0,10000.0,10000.0
90,91,2024-12-17 10:40:00+00:00,2024-12-17 10:45:00+00:00,,FVG_bullish,buy,22035.405,22019.25357,22083.85929,,,0.0,0.0,3.0,0.0,0.0,1.0,10000.0,10000.0
91,92,2024-12-17 18:55:00+00:00,2024-12-17 19:00:00+00:00,,FVG_bullish,buy,22033.68,22007.69071,22111.64786,,,0.0,0.0,3.0,0.0,0.0,1.0,10000.0,10000.0
92,93,2024-12-17 23:05:00+00:00,2024-12-17 23:10:00+00:00,,FVG_bullish,buy,21984.565,21964.67571,22044.23286,,,0.0,0.0,3.0,0.0,0.0,1.0,10000.0,10000.0
93,94,2024-12-18 16:35:00+00:00,2024-12-18 16:40:00+00:00,,FVG_bullish,buy,21949.585,21924.53571,22024.73286,,,0.0,0.0,3.0,0.0,0.0,1.0,10000.0,10000.0
94,95,2024-12-19 09:55:00+00:00,2024-12-19 10:00:00+00:00,,FVG_bearish,sell,21252.315,21272.50429,21191.74714,,,0.0,0.0,3.0,0.0,0.0,1.0,10000.0,10000.0
95,96,2024-12-19 11:40:00+00:00,2024-12-19 11:45:00+00:00,,FVG_bearish,sell,21271.69,21290.13071,21216.36786,,,0.0,0.0,3.0,0.0,0.0,1.0,10000.0,10000.0
96,97,2024-12-19 11:40:00+00:00,2024-12-19 11:45:00+00:00,,FVG_bearish,sell,21271.69,21290.13071,21216.36786,,,0.0,0.0,3.0,0.0,0.0,1.0,10000.0,10000.0
97,98,2024-12-19 16:10:00+00:00,2024-12-19 16:15:00+00:00,,FVG_bearish,sell,21341.055,21365.05786,21269.04643,,,0.0,0.0,3.0,0.0,0.0,1.0,10000.0,10000.0
98,99,2024-12-19 22:35:00+00:00,2024-12-19 22:40:00+00:00,,FVG_bullish,buy,21198.93,21159.91857,21315.96429,,,0.0,0.0,3.0,0.0,0.0,1.0,10000.0,10000.0
99,100,2024-12-20 05:15:00+00:00,2024-12-20 05:20:00+00:00,,FVG_bullish,buy,20998.7,20984.54571,21041.16286,,,0.0,0.0,3.0,0.0,0.0,1.0,10000.0,10000.0
100,101,2024-12-20 05:15:00+00:00,2024-12-20 05:20:00+00:00,,FVG_bullish,buy,20998.7,20984.54571,21041.16286,,,0.0,0.0,3.0,0.0,0.0,1.0,10000.0,10000.0
101,102,2024-12-20 05:35:00+00:00,2024-12-20 05:40:00+00:00,,FVG_bullish,buy,20981.88,20967.71786,21024.36643,,,0.0,0.0,3.0,0.0,0.0,1.0,10000.0,10000.0
102,103,2024-12-20 06:20:00+00:00,2024-12-20 06:25:00+00:00,,FVG_bullish,buy,20970.75,20955.35929,21016.92214,,,0.0,0.0,3.0,0.0,0.0,1.0,10000.0,10000.0
103,104,2024-12-20 06:20:00+00:00,2024-12-20 06:25:00+00:00,,FVG_bullish,buy,20970.75,20955.35929,21016.92214,,,0.0,0.0,3.0,0.0,0.0,1.0,10000.0,10000.0
104,105,2024-12-20 16:40:00+00:00,2024-12-20 16:45:00+00:00,,FVG_bearish,sell,20974.125,21018.22929,20841.81214,,,0.0,0.0,3.0,0.0,0.0,1.0,10000.0,10000.0
105,106,2024-12-20 17:05:00+00:00,2024-12-20 17:10:00+00:00,,FVG_bearish,sell,21007.62,21062.93357,20841.67929,,,0.0,0.0,3.0,0.0,0.0,1.0,10000.0,10000.0
106,107,2024-12-20 18:05:00+00:00,2024-12-20 18:10:00+00:00,,FVG_bearish,sell,21308.24,21367.14714,21131.51857,,,0.0,0.0,3.0,0.0,0.0,1.0,10000.0,10000.0
107,108,2024-12-23 01:20:00+00:00,2024-12-23 01:25:00+00:00,,FVG_bullish,buy,21385.125,21357.67857,21467.46429,,,0.0,0.0,3.0,0.0,0.0,1.0,10000.0,10000.0
108,109,2024-12-24 10:40:00+00:00,2024-12-24 10:45:00+00:00,,FVG_bearish,sell,21505.685,21518.97357,21465.81929,,,0.0,0.0,3.0,0.0,0.0,1.0,10000.0,10000.0
109,110,2024-12-26 06:40:00+00:00,2024-12-26 06:45:00+00:00,,FVG_bearish,sell,21846.625,21852.68929,21828.43214,,,0.0,0.0,3.0,0.0,0.0,1.0,10000.0,10000.0
110,111,2024-12-26 06:40:00+00:00,2024-12-26 06:45:00+00:00,,FVG_bearish,sell,21846.625,21852.68929,21828.43214,,,0.0,0.0,3.0,0.0,0.0,1.0,10000.0,10000.0
111,112,2024-12-26 07:35:00+00:00,2024-12-26 07:40:00+00:00,,FVG_bearish,sell,21839.59,21846.77286,21818.04143,,,0.0,0.0,3.0,0.0,0.0,1.0,10000.0,10000.0
112,113,2024-12-26 11:55:00+00:00,2024-12-26 12:00:00+00:00,,FVG_bullish,buy,21709.065,21685.77786,21778.92643,,,0.0,0.0,3.0,0.0,0.0,1.0,10000.0,10000.0
113,114,2024-12-26 11:55:00+00:00,2024-12-26 12:00:00+00:00,,FVG_bullish,buy,21709.065,21685.77786,21778.92643,,,0.0,0.0,3.0,0.0,0.0,1.0,10000.0,10000.0
